StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1.2,Q3.1,Q4.1,Q4.3_1,Q4.3_2,Q4.3_3,Q4.3_4,Q4.3_5,Q4.3_6,Q4.3_7,Q4.1_1,Q4.1_2,Q4.1_3,Q4.1_4,Q4.1_5,Q6.1,Q6.2,Q6.3,Q7.1_1,Q8.2,Q8.3,Q8.4,Q8.5,Q8.6,Added - Q1,Added - Q2,Added - Q3,Added - Q4,Added - Q5,Added - Q6,Added - Q7,Added - Q8,Added - Q9,Q40.1,Q_BallotBoxStuffing,rid,pid,SUPPLIER_ID,SUPNAME,screener,who,outcome,casualty
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,次の選択肢から１つを選んでください。もし「参加することに同意しません」を選んだ場合は、調査が直ちに終了します。,選挙のある、なしにかかわらず、いつも政治に関心をもっている人もいますし、そんなに関心をもたない人もいます。あなたは政治上のできごとに、どれくらい注意を払っていますか。,"日本でも他の国でも、紙の新聞ではなくオンラインでニュース情報を得る人が急速に増えてきています。
 

ここで、あなたがきちんと質問文を読んでいるかどうかをテストしてみたいと思います。あなたが実際にどのくらい頻繁にオンラインでニュース情報を入手しているかどうかにかかわらず、選択肢のうち「毎日」と「まったくない」の両方（二つだけ）を選んでください。",あなたは現時点までの菅内閣についてどう思われますか。全ての項目にお答えください。 - 財政政策,あなたは現時点までの菅内閣についてどう思われますか。全ての項目にお答えください。 - 景気対策,あなたは現時点までの菅内閣についてどう思われますか。全ての項目にお答えください。 - 外交政策,あなたは現時点までの菅内閣についてどう思われますか。全ての項目にお答えください。 - 教育政策,あなたは現時点までの菅内閣についてどう思われますか。全ての項目にお答えください。 - 新型コロナ感染症対策,あなたは現時点までの菅内閣についてどう思われますか。全ての項目にお答えください。 - 防衛政策,あなたは現時点までの菅内閣についてどう思われますか。全ての項目にお答えください。 - 全体としての菅内閣の仕事ぶり,以下にあげるものを、あなたはどの程度信頼することができますか。全ての項目にお答えください。 - 政党,以下にあげるものを、あなたはどの程度信頼することができますか。全ての項目にお答えください。 - 自衛隊,以下にあげるものを、あなたはどの程度信頼することができますか。全ての項目にお答えください。 - 国会,以下にあげるものを、あなたはどの程度信頼することができますか。全ての項目にお答えください。 - 官庁などの行政機関,以下にあげるものを、あなたはどの程度信頼することができますか。全ての項目にお答えください。 - マスメディア,次の選挙で何党に投票するかは別にして、ふだんあなたは何党を支持していますか。,あなたは支持している政党の熱心な支持者ですか、それともあまり熱心な支持者ではありませんか。,あえていえば、どの政党を最も好ましいと思っていますか。,政治に関して、ときどき、「左寄り（革新）、右寄り（保守）」という表現をすることがあります。あなたご自身はどこに位置すると思いますか。 - 最も「左」:最も「右」,あなたの性別を教えて下さい。,あなたの年齢を教えてください。（半角で入力ください。）,あなたが最後に卒業された学校はどれですか。各種学校は含めず、中退・在学中の場合は、卒業とみなしてお答えください（例えば、大学に在学中であれば、大学を選択してください）。,あなたは現在、どこにお住まいですか。住んでいる都道府県名を選択してください。,去年１年間のあなたとご家族の収入を合わせた世帯収入は、およそどのくらいになりますか。ボーナスや臨時収入を含めた年収（税込み）でお答え下さい。,あなたは、現時点に至る日本政府の意思決定を、評価しますか、それとも評価しませんか。,あなたは、この作戦について、支持しますか、それとも支持しませんか。,あなたは、この事例だけではなく、今後起こりうる危機的な状態において、自衛隊が一定の危険を冒してでも、民間人の退避作戦を行うことを支持しますか、それとも支持しませんか。,こういった危険な作戦に自衛隊を用いるのではなく、同盟国アメリカに頼るべきだという意見があります。あなたは、この意見に同意します、それとも同意しませんか。,こういった作戦を日本が行うことについて、同盟国であるアメリカが、評価すると思いますか、それとも評価しないと思いますか。,あなたは、現時点での日本政府のアフガニスタン情勢をめぐる政策対応について、どのように考えますか。以下の空欄に、なるべく具体的に、自由に入力してください。何もない場合には、「何もない」とご記入ください。,シナリオの中で、最後の救出のチャンスに賭けて、イスラマバードにいた部隊をカブールに派遣したのは誰ですか。,シナリオの中で記載されている作戦の「結果」は、以下のうちどれですか。,シナリオの中で記載されている作戦の遂行にあたり、自衛隊の精鋭部隊に死傷者は出ましたか、それとも出ませんでしたか,最後に、この調査について、何かご意見・ご感想があればお聞かせください。以下の空欄に自由に入力してください。何もない場合には、「何もない」とご記入ください。,Q_BallotBoxStuffing,rid,pid,SUPPLIER_ID,SUPNAME,screener,who,outcome,casualty
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID2""}","{""ImportId"":""QID545""}","{""ImportId"":""QID551""}","{""ImportId"":""QID407_1""}","{""ImportId"":""QID407_2""}","{""ImportId"":""QID407_3""}","{""ImportId"":""QID407_4""}","{""ImportId"":""QID407_6""}","{""ImportId"":""QID407_8""}","{""ImportId"":""QID407_5""}","{""ImportId"":""QID328_1""}","{""ImportId"":""QID328_2""}","{""ImportId"":""QID328_3""}","{""ImportId"":""QID328_4""}","{""ImportId"":""QID328_5""}","{""ImportId"":""QID371""}","{""ImportId"":""QID372""}","{""ImportId"":""QID373""}","{""ImportId"":""QID370_1""}","{""ImportId"":""QID273""}","{""ImportId"":""QID507_TEXT""}","{""ImportId"":""QID358""}","{""ImportId"":""QID331""}","{""ImportId"":""QID314""}","{""ImportId"":""QID661""}","{""ImportId"":""QID666""}","{""ImportId"":""QID669""}","{""ImportId"":""QID670""}","{""ImportId"":""QID671""}","{""ImportId"":""QID673_TEXT""}","{""ImportId"":""QID675""}","{""ImportId"":""QID676""}","{""ImportId"":""QID677""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""Q_BallotBoxStuffing""}","{""ImportId"":""rid""}","{""ImportId"":""pid""}","{""ImportId"":""SUPPLIER_ID""}","{""ImportId"":""SUPNAME""}","{""ImportId"":""screener""}","{""ImportId"":""who""}","{""ImportId"":""outcome""}","{""ImportId"":""casualty""}"
2021-08-29 23:43:54,2021-08-29 23:47:09,IP Address,100,194,True,2021-08-29 23:47:09,R_1IXTQxRUnH5zPec,anonymous,JA,0.800000011920928955078125,参加することに同意します,いつも注意を払っている,"毎日,まったくない",かなり悪い,かなり悪い,やや悪い,どちらともいえない,やや悪い,かなり悪い,かなり悪い,やや信頼することができる,かなり信頼することができる,あまり信頼することができない,やや信頼することができる,あまり信頼することができない,自由民主党,あまり熱心でない支持者,,5,女,27,大学・大学院,東京都,１０００〜１１９９万円,どちらかといえば、評価する,支持する,どちらかといえば、支持する,どちらともいえない,評価すると思う,日本のODAに協力してくれていた現地人に対し手を差し伸べるべき,菅首相,作戦は成功し、５台すべてを無事に空港まで護送することができた,出なかった,調査の内容を覚えているかを聞くのは少々失礼,,612c53ea-db80-3151-8c4f-e51731ee7ac7,25695028,1303,"Monitas(Gain,Inc.)-Link",,菅首相,作戦は成功し、５台すべてを無事に空港まで護送することができました,死傷者は出ませんでした
2021-08-29 23:43:51,2021-08-29 23:50:14,IP Address,100,383,True,2021-08-29 23:50:15,R_TvKnJLbK9CBKGGZ,anonymous,JA,0.89999997615814208984375,参加することに同意します,時々注意を払っている,"毎日,まったくない",やや悪い,やや悪い,やや悪い,どちらともいえない,かなり悪い,どちらともいえない,やや悪い,やや信頼することができる,やや信頼することができる,あまり信頼することができない,あまり信頼することができない,ほとんど信頼することができない,どの政党も支持していない,,自由民主党,3,女,33,大学・大学院,東京都,２００〜３９９万円,どちらかといえば、評価しない,支持する,支持する,どちらかといえば、同意しない,評価すると思う,動きが遅い,菅首相,作戦は成功し、５台すべてを無事に空港まで護送することができた,出なかった,あまりこのような話題を話せる人間が多くないので良い機会,,612c53e4-1b34-7d0d-2af5-c86ca4dbd156,25763131,1303,"Monitas(Gain,Inc.)-Link",,菅首相,作戦は成功し、５台すべてを無事に空港まで護送することができました,死傷者は出ませんでした
2021-08-29 23:47:33,2021-08-29 23:50:29,IP Address,100,176,True,2021-08-29 23:50:30,R_2rJ7Ojad0zBQu08,anonymous,JA,1,参加することに同意します,時々注意を払っている,"毎日,まったくない",やや悪い,かなり悪い,どちらともいえない,やや悪い,やや悪い,かなり悪い,やや悪い,やや信頼することができる,やや信頼することができる,やや信頼することができる,やや信頼することができる,やや信頼することができる,国民民主党,あまり熱心でない支持者,,3,女,38,大学・大学院,奈良県,８００〜９９９万円,どちらかといえば、評価しない,どちらかといえば、支持しない,どちらともいえない,どちらかといえば、同意する,どちらともいえない,何もない,防衛大臣,作戦は失敗し、１台を除いて無事に空港まで護送することができなかった,出た,何もない,,612c54ca-f739-e83f-4fb0-690d4dd6e77b,3321578,1303,"Monitas(Gain,Inc.)-Link",,自衛隊の統合任務部隊指揮官,作戦は失敗し、１台を除いて無事に空港まで護送することができませんでした,複数の死傷者が出ました
2021-08-29 23:44:29,2021-08-29 23:51:39,IP Address,100,429,True,2021-08-29 23:51:39,R_rdrAYTdToSEUH9n,anonymous,JA,1,参加することに同意します,いつも注意を払っている,"毎日,まったくない",やや悪い,かなり悪い,やや良い,どちらともいえない,かなり悪い,やや悪い,やや悪い,あまり信頼することができない,やや信頼することができる,あまり信頼することができない,あまり信頼することができない,あまり信頼することができない,立憲民主党,あまり熱心でない支持者,,3,男,72,大学・大学院,千葉県,６００〜７９９万円,どちらかといえば、評価しない,どちらかといえば、支持する,どちらかといえば、支持する,どちらかといえば、同意しない,どちらかといえば、評価すると思う,タリバンがどのような対応をするかまだはっきりしないが、キーマンと根気よく話し合うことが必要,自衛隊の統合任務部隊指揮官,作戦は成功し、５台すべてを無事に空港まで護送することができた,出なかった,何もない,,612c540d-a8cd-2499-6f7f-49f0c3a4105d,15575684,1303,"Monitas(Gain,Inc.)-Link",,自衛隊の統合任務部隊指揮官,作戦は成功し、５台すべてを無事に空港まで護送することができました,死傷者は出ませんでした
2021-08-29 23:47:58,2021-08-29 23:54:00,IP Address,100,362,True,2021-08-29 23:54:00,R_3kFzz7y6eMQNUgm,anonymous,JA,1,参加することに同意します,たまに注意を払っている,"毎日,まったくない",やや良い,どちらともいえない,やや良い,どちらともいえない,やや悪い,どちらともいえない,どちらともいえない,あまり信頼することができない,やや信頼することができる,あまり信頼することができない,あまり信頼することができない,あまり信頼することができない,公明党,あまり熱心でない支持者,,4,女,47,高校・旧制中学校,青森県,４００〜５９９万円,評価しない,どちらかといえば、支持する,どちらかといえば、支持する,どちらともいえない,どちらかといえば、評価すると思う,"決める人が平和な日本に居る。
現実を分かっていない。
空港まで自力で行けるわけがない。",菅首相,作戦は成功し、５台すべてを無事に空港まで護送することができた,出なかった,何もない,,612c54cf-84cd-1a8f-fd95-040ba2eeef87,3112390,1303,"Monitas(Gain,Inc.)-Link",,菅首相,作戦は成功し、５台すべてを無事に空港まで護送することができました,死傷者は出ませんでした
2021-08-29 23:48:48,2021-08-29 23:54:04,IP Address,100,315,True,2021-08-29 23:54:04,R_1rDfQ8jAVMb5cUX,anonymous,JA,0.800000011920928955078125,参加することに同意します,時々注意を払っている,"毎日,まったくない",かなり悪い,かなり悪い,かなり悪い,かなり悪い,かなり悪い,かなり悪い,かなり悪い,ほとんど信頼することができない,ほとんど信頼することができない,ほとんど信頼することができない,ほとんど信頼することができない,ほとんど信頼することができない,どの政党も支持していない,,その他,4,男,53,高校・旧制中学校,和歌山県,４００〜５９９万円,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,何もない,菅首相,作戦は失敗し、１台を除いて無事に空港まで護送することができなかった,出なかった,何もない,,612c551d-6010-769c-e556-0a9492e80760,19752268,1303,"Monitas(Gain,Inc.)-Link",,菅首相,作戦は失敗し、１台を除いて無事に空港まで護送することができませんでした,死傷者は出ませんでした
2021-08-29 23:48:41,2021-08-29 23:54:32,IP Address,100,350,True,2021-08-29 23:54:32,R_DoXqIWAAgSSXDNL,anonymous,JA,1,参加することに同意します,たまに注意を払っている,"毎日,まったくない",やや良い,どちらともいえない,どちらともいえない,やや良い,どちらともいえない,やや良い,どちらともいえない,やや信頼することができる,やや信頼することができる,やや信頼することができる,やや信頼することができる,あまり信頼することができない,公明党,あまり熱心でない支持者,,4,男,74,高校・旧制中学校,兵庫県,４００〜５９９万円,どちらともいえない,どちらかといえば、支持しない,どちらかといえば、支持しない,どちらかといえば、同意しない,どちらともいえない,何もない,自衛隊の統合任務部隊指揮官,作戦は成功し、５台すべてを無事に空港まで護送することができた,出なかった,何もない,,612c54d9-30cd-3935-7bcc-363fb08865ef,16112278,1303,"Monitas(Gain,Inc.)-Link",,菅首相,作戦は失敗し、１台を除いて無事に空港まで護送することができませんでした,複数の死傷者が出ました
2021-08-29 23:50:17,2021-08-29 23:54:54,IP Address,100,277,True,2021-08-29 23:54:54,R_1I3LLvgcJR0nHKA,anonymous,JA,0.699999988079071044921875,参加することに同意します,時々注意を払っている,"毎日,まったくない",かなり悪い,かなり悪い,やや悪い,やや悪い,かなり悪い,やや悪い,やや悪い,あまり信頼することができない,やや信頼することができる,あまり信頼することができない,あまり信頼することができない,やや信頼することができる,国民民主党,あまり熱心でない支持者,,4,男,26,高校・旧制中学校,群馬県,４００〜５９９万円,どちらかといえば、評価する,どちらかといえば、支持する,どちらかといえば、支持しない,どちらかといえば、同意する,どちらかといえば、評価しないと思う,何もない,防衛大臣,作戦は失敗し、１台を除いて無事に空港まで護送することができなかった,出た,何もない,,612c556e-7aaa-95c0-cb89-c2f5360800de,22230081,1303,"Monitas(Gain,Inc.)-Link",,自衛隊の統合任務部隊指揮官,作戦は失敗し、１台を除いて無事に空港まで護送することができませんでした,死傷者は出ませんでした
